symbol,name,source_category,instrument_type,sector,status
SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
SYPNL,SY Panel Nepal Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,ordinary,Hydropower,listed
TPC,Terhathum Power Company Limited,Hydropower,ordinary,Hydropower,listed
TPKHL,Taksar Pikhuwa Khola Hydropower Limited,Hydropower,ordinary,Hydropower,listed
TRH,Taragaon Regency Hotel Limited,Hotel & Tourism,ordinary,Hotel & Tourism,listed
TSHL,Three Star Hydropower Limited,Hydropower,ordinary,Hydropower,listed
TTL,Trade Tower Limited,Others,ordinary,,listed
TVCL,Trishuli Jal Vidhyut Company Limited,Hydropower,ordinary,Hydropower,listed
UAIL,United Ajod Insurance Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
UHEWA,Upper Hewakhola Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
ULHC,Upper Lohore Khola Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
ULI,Union Life Insurance Company Limited,Merged,ordinary,,merged
UMHL,United Modi Hydropower Limited,Hydropower,ordinary,Hydropower,listed
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,ordinary,Hydropower,listed
UNHPL,Union Hydro Holdings Company Limited,Hydropower,ordinary,Hydropower,listed
UNL,Unilever Nepal Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
UPCL,Universal Power Company Limited,Hydropower,ordinary,Hydropower,listed
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,ordinary,Hydropower,listed
USHEC,Upper Solu Hydro Electric Company Limited,Hydropower,ordinary,Hydropower,listed
USHL,Upper Syange Hydropower Limited,Hydropower,ordinary,Hydropower,listed
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
VLUCL,Vision Lumbini Urja Company Limited,Hydropower,ordinary,Hydropower,listed
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
YMHL,Yambaling Hydropower Limited,Hydropower,ordinary,Hydropower,listed
