published_date,nav
2026-02-18,10.29
2026-02-19,10.29
2026-02-20,10.29
2026-02-21,10.29
2026-02-22,10.23
2026-02-23,10.24
2026-02-24,10.31
2026-02-25,10.34
2026-02-26,10.36
2026-02-27,10.36
2026-02-28,10.36
2026-03-01,10.42
2026-03-02,10.42
2026-03-04,10.55
2026-03-05,10.55
2026-03-06,10.55
2026-03-07,10.55
2026-03-08,10.55
2026-03-09,11
2026-03-10,10.97
2026-03-11,10.77
2026-03-12,10.85
2026-03-13,10.85
2026-03-14,10.85
2026-03-15,10.85
2026-03-16,10.78
2026-03-17,10.77
2026-03-18,10.77
2026-03-19,10.95
2026-03-20,10.95
2026-03-21,10.95
2026-03-22,11.13
2026-03-23,11.15
2026-03-24,11.15
2026-03-25,11.07
2026-03-26,11.08
2026-03-27,11.08
2026-03-28,11.08
2026-03-29,10.87
2026-03-30,10.75
2026-03-31,10.8
2026-04-01,10.61
2026-04-02,10.6
2026-04-03,10.6
2026-04-04,10.6
2026-04-05,10.34
2026-04-06,10.54
2026-04-07,10.51
2026-04-08,10.61
2026-04-09,10.71
2026-04-10,10.67
2026-04-11,10.67
2026-04-12,10.67
2026-04-13,10.65
2026-04-14,10.65
2026-04-15,10.7
2026-04-16,10.64
2026-04-17,10.61
2026-04-18,10.61
2026-04-19,10.61
2026-04-20,10.57
2026-04-21,10.52
2026-04-22,10.53
2026-04-23,10.48
2026-04-24,10.46
2026-04-25,10.46
2026-04-26,10.46
2026-04-27,10.47
2026-04-28,10.43
2026-04-29,10.38
2026-04-30,10.36
2026-05-01,10.36
2026-05-02,10.36
2026-05-03,10.36
2026-05-04,10.29
2026-05-05,10.31
2026-05-06,10.3
2026-05-07,10.33
2026-05-08,10.4
2026-05-09,10.4
2026-05-10,10.4
2026-05-11,10.51
2026-05-12,10.42
2026-05-13,10.4
2026-05-14,10.41
2026-05-15,10.34
2026-05-16,10.34
2026-05-17,10.34
2026-05-18,10.33
2026-05-19,10.31
2026-05-20,10.38
2026-05-21,10.35
2026-05-22,10.38
2026-05-23,10.38
2026-05-24,10.38
2026-05-25,10.46
2026-05-26,10.43
2026-05-27,10.47
2026-05-28,10.46
2026-05-29,10.46
2026-05-30,10.46
2026-05-31,10.46
2026-06-01,10.41
2026-06-02,10.46
2026-06-03,10.51
2026-06-04,10.51
2026-06-05,10.44
2026-06-06,10.44
2026-06-07,10.44
2026-06-08,10.39
2026-06-09,10.37
2026-06-10,10.36
2026-06-11,10.35
2026-06-12,10.33
2026-06-13,10.33
2026-06-14,10.33
2026-06-15,10.32
2026-06-16,10.29
2026-06-18,10.28
2026-06-19,10.29
2026-06-20,10.29
2026-06-21,10.29
2026-06-22,10.29
2026-06-23,10.22
2026-06-24,10.16
2026-06-25,10.14
2026-06-26,10.13
2026-06-27,10.13
2026-06-28,10.13
2026-06-29,10.07
2026-06-30,9.99
2026-07-01,10.13
2026-07-02,10.13
2026-07-03,10.13
2026-07-04,10.13
2026-07-05,10.13
2026-07-06,10.07
2026-07-07,10.13
2026-07-08,10.05
2026-07-09,9.98
2026-07-10,9.97
2026-07-11,9.97
2026-07-12,9.97
2026-07-13,9.88
2026-07-14,9.9
2026-07-15,9.96
2026-07-16,10
2026-07-17,10.23
2026-07-18,10.23
2026-07-19,10.23
2026-07-20,10.34
2026-07-21,10.33
2026-07-22,10.28
2026-07-23,10.31
